index,ID,Tweet,Timestamp,Likes,Retweets,Length
0,1501438119392202753,"وصول إجمالي عدد الزيارات لـ #إكسبو2020 #دبي إلى 17.4 مليون زيارة، بزيادة بلغت 1.4 مليون زيارة في أسبوع واحد، مدفوعة بمجموعة رائعة من الفعاليات والفنانين. https://t.co/2QTthmAFEx
#سياحة @expo2020dubai https://t.co/vSJ7F2J9Le",2022-03-09 06:01:57+00:00,0,0,223
1,1501436959637782530,"بدءاً من رواد الفضاء وصولاً إلى الفنانين.. الخبرات الإماراتية تجعل من #إكسبو2020 #دبي قصة نجاح وطنية https://t.co/2QTthmAFEx
#سياحة @expo2020dubai https://t.co/7qekNKstvA",2022-03-09 05:57:21+00:00,1,0,170
2,1501308092323188737,صورة مميزة لموظّفات إكسبو دبي احتفالا باليوم الدولي للمرأة - العين الإخبارية https://t.co/1xT7NjbQeH,2022-03-08 21:25:16+00:00,0,0,100
3,1501299214877442053,"""بحضور رئيس غانا وبأداء شعري مصحوب برقصات تقليدية"".. غانا تحتفل بيومها الوطني في #إكسبو2020 #دبي 

#عينك_على_إكسبو⁩
⁦#Expo2020 ⁩ ⁦@expo2020dubai
https://t.co/INhaTgiRQ1",2022-03-08 20:50:00+00:00,0,0,168
4,1501271540918198277,"حصل #إكسبو2020 دبي على تكريم المعيار الدولي والأوروبي للمساواة بين الجنسَين الخاص بتنظيم الفعاليات.. إليكم التفاصيل

#عينك_على_إكسبو⁩
⁧#يوم_المرأة_العالمي⁩
⁦#InternationalWomenDay⁩
⁦#Expo2020 ⁩ ⁦@expo2020dubai
https://t.co/DV9zloeBGO",2022-03-08 19:00:02+00:00,0,0,233
5,1501262792002719746,تكريم أوروبي لإكسبو 2020 دبي في مجال المساواة بين الجنسين - العين Extra https://t.co/8qtyZwSLqN,2022-03-08 18:25:16+00:00,0,0,95
6,1501256414945157126,"انضمت موظفات #إكسبو2020 دبي إلى ريم الهاشمي، المدير العام لإكسبو دبي، في فرصة فريدة للاحتفال بـ #اليوم_العالمي_للمرأة

للتفاصيل | https://t.co/4olfg2fSMs

#عينك_على_إكسبو⁩
⁧#يوم_المرأة_العالمي⁩
⁦#InternationalWomenDay⁩
⁦#Expo2020 ⁩ ⁦@expo2020dubai https://t.co/93eeKjzpeP",2022-03-08 17:59:55+00:00,2,0,271
7,1501234864833531911,"انضم زوار #إكسبو2020 دبي إلى المتطوعين والموظفين في ساحة إكسبو الرياضية للاحتفاء بمشاركة النساء بمجال الرياضة في اليوم الدولي للمرأة

#عينك_على_إكسبو⁩
⁧#يوم_المرأة_العالمي⁩
⁦#InternationalWomenDay⁩
⁦#Expo2020 ⁩ ⁦@expo2020dubai
https://t.co/956hNv69VS",2022-03-08 16:34:18+00:00,0,0,250
8,1501213315120390145,"جناح موريشيوس يدعو زوار معرض إكسبو 2020 دبي للمشاركة في احتفالات اليوم الوطني - لايف ستايل 🆕
https://t.co/FNFb2jFPuF",2022-03-08 15:08:40+00:00,0,0,116
9,1501204829783400448,"كشف علماء من جمهورية #كازاخستان، على هامش ""#إكسبو2020 دبي""، خوارزمية لا متناهية تقوم بتحليل البيانات الكبيرة.. تعرفوا على التفاصيل

#عينك_على_إكسبو⁩
⁦#Expo2020 ⁩   ⁦@expo2020dubai⁩
https://t.co/XoG33rEPpu",2022-03-08 14:34:57+00:00,0,0,204
10,1501182836124143619,"The Women’s Pavilion by Expo 2020 Dubai in collaboration with @Cartier

احتفالاً باليوم العالمي للمرأة في 8 مارس، سوف نجتمع تحت قبة الوصل للإجابة على السؤال: ما الذي يجعل العالم أفضل؟

شاهد الحفل مباشرة على https://t.co/iKOHLUhG4X في تمام الساعة الثامنة مساءً.",2022-03-08 13:07:33+00:00,5,1,260
11,1501175902193033220,"شهد #إكسبو2020 دبي مشاركة العديد من قصص النجاح الإماراتية التي تجمع المعرفة، والابتكار، والثقافة، وكرم الضيافة الإماراتية.. إليكم التفاصيل

#عينك_على_إكسبو⁩
⁦#Expo2020 ⁩ ⁦@expo2020dubai⁩
https://t.co/xuyP1PedH9",2022-03-08 12:40:00+00:00,0,0,210
12,1501173438739886083,"مجسم ضخم منفوخ يرتفع عن الأرض لمسافة 12 مترًا، يُضفي روعة فنية إلى #إكسبو2020 دبي، فما سره؟ https://t.co/zN0odaa9VP
#CNNatEXPO #Expo2020",2022-03-08 12:30:12+00:00,6,3,136
13,1501147666625011716,فيديو: إكسبو دبي 2020 يرفع شعار المساواة بين الجنسين بمناسبة اليوم العالمي للمرأة https://t.co/xFdiKoVc3Z,2022-03-08 10:47:48+00:00,3,0,105
14,1501105961196736515,"وزيرة السياحة النمساوية: #إكسبو منصة لتبادل الأفكار العالمية ودعم تعليم المرأة

https://t.co/Uv68AHsPRE

@expo2020dubai 
#Dubai 
#Expo2020 
#Expo2020Dubai 
#إكسبو2020دبي 
#البيان_القارئ_دائما",2022-03-08 08:02:05+00:00,0,0,191
15,1501007315272617986,"مُكوّن ""سحري"" للبشرة ومفيد للاستحمام.. شركة تستخدم حليب الإبل لصنع الصابون
https://t.co/wxPpBGtBq1 
#CNNatEXPO
#EXPO2020",2022-03-08 01:30:05+00:00,22,3,120
16,1500984645667614720,كوخ ذكي أو مكتب متنقل.. استكشف مزايا هذه الوحدة السكنية الذكية في #إكسبو2020 #دبي https://t.co/SiDkSJzBNl #Expo2020 #Expo2020Dubai #CNNatExpo https://t.co/9zyyltLGHs,2022-03-08 00:00:01+00:00,13,2,165
